tweet,rotulo
Bolsonaro é louco e eu sou o Lula jump jump jump,negativo
taehyung performando sentado sendo superior a qualquer um,positivo
Campanha de Bolsonaro quer evitar fake news nos celulares de assessores https://veja.abril.com.br/coluna/radar/campanha-de-bolsonaro-quer-evitar-fake-news-nos-celulares-de-assessores/…,positivo
Hipocrisia agente vê por aqui com a SIMONE ESTEPE.Lapada: Michelle Bolsonaro expõe “hipocrisia” de Simone Tebet; VEJA ☛,negativo
Meu Presidente tava aqui em São Luís e eu não pude ir ver ele. . .  @LulaOficial . . .#LulaNo1ºTurno #LulaPresidente13 #Lula13,negativo
o que eu mais quero do lula é que ele faça meu pai me dar um carro ano q vem,negativo
PARÓDIA CHAVES - LULA https://youtu.be/RYwJMVavJwU via @YouTube,neutro
"As vezes eu fico achando que Ciro Gomes viaja para o futuro, anota tudo e volta pra nos contar.Ciro Gomes precisa ser presidente do Brasil.",positivo
"Leia, escute, discuta, aprenda , evolua com Ciro Gomes . Ele pede isso , não se cala, busca o debate e solução . De esquerda ou direita não importa . Temos que encontrar saídas . Negar é auto sabotagem, ilusão e prejuízo assumido. Patriotas olham além de si mesmos",positivo
De perto e de longe é @cirogomes,positivo
"Adorei saber que eu e o BRESSER temos o mesmo candidato. Um antigo documentário sobre o Brizola se chama Coerência e Coragem. É isso, coerência e coragem. twitter.com/geofranzedias/…",positivo
"Vamos ver e escutar o candidato @cirogomes, que tem um projeto que mudará o Brasil!#CiroPresidente12 #CiroTV",positivo
"Hoje temos mais um encontro AO VIVO na #CiroTV – diretamente do Aglomerado da Serra, em Belo Horizonte! Acompanhe a transmissão do nosso quarto programa eleitoral completo, com direito a muitos reacts, interação com quem estiver participando e muito mais. Espero vocês às 20h45!",positivo
Hipocrisia agente vê por aqui com a SIMONE ESTEPE.Lapada: Michelle Bolsonaro expõe “hipocrisia” de Simone Tebet; VEJA ☛,negativo
Simone Tebet para presidente do Brasil,negativo
Acabei de ver Lapada: Michelle Bolsonaro expõe “hipocrisia” de Simone Tebet; VEJA - Clique para ver também ☛  https://terrabrasilnoticias.com/2022/09/lapada-michelle-bolsonaro-expoe-hipocrisia-de-simone-tebet-veja/… via @TerraBrasilnot,negativo
"Olha aí o FIES, olha aí o Bolsonaro auxiliando as pessoas a se reerguerem.",positivo
"Meu irmão tinha uma dívida de R$11.300,00 no FIES.Ontem esteve na caixa e renegociou sua dívida, recebeu 77% de desconto e pagou por R$2.600,00 dos mais de 11k que devia.Obrigada PR @jairbolsonaro e @caixa_ouvidoria",positivo
"O povo brasileiro  só  vai conhecer  as falcatruas  de Bolsonaro  a partir  de 2023, quando ele deixar  o governo.",positivo
"o olho roxo vai embora, agora as botada que dei no seu namorado tu não vai desbotar",positivo
É o renanzinho bolsonaro?,positivo
"Eu falo isso aqui faz anosImpossível negar a corrupção descoberta na lava jatoNo entanto, cadê o dinheiro que o lula roubou? Cadê os imóveis, as viagens pro exterior? A vida de luxo? Se ele roubou tanto pq nem ele nem ninguém da família usufrui?",negativo
"""Por que vc vai votar no Lula sendo que ele roubou tanto?""Bom, aí está minha resposta:",negativo
Ministro do TSE manda apagar post de Latino com fake news sobre Lula,negativo
"Chupa Felicianus e Malacraia!!!Fake news sobre Lula e fechamento de igrejas se espalhou, mas 78% não acreditaram, diz Ipespe",negativo
Pra quem tem dúvidas sobre o programa Renda Mínima do @cirogomes ele mesmo explica. ,positivo
Tem duas perguntas sobre nosso RENDA MÍNIMA DE R$ 1.000 que têm aparecido com frequência aqui nas redes e por onde a gente tem andado. ,positivo
"Só para aqueles do PDT que ficaram com raiva da gentee dos  @cristaostrabpdt, quando fizemos campanha para o @CaboDaciolo ser Senador, os desígnios de Deus sabia quem nunca iria trair @cirogomes !!",positivo
"Estou vendendo meus NFTS Card Legend política 8 mil cada Lula , Bolsonaro ,Ciro Gomes Está disponível  na #OpenSea  #política #card #Cup #cirogomes #legend #gold #nft",neutro
Será q esquerdista @simonetebetbr está vendo esse mar de mulheres apoiadoras do guerreiro e trabalhador PR @jairbolsonaro?@MDB_Nacional @MichelTemer .Ah! Sou mulher paulistana e voto no Bolsonaro. #BolsonaroReeleitoEm2022 @CNNBrasil @g1 @RedeTV @VEJA,neutro
"“Diz pra votar em mulher e tenta calar outra mulher”, diz MichellePrimeira-dama evitou citar nomes, mas fez referência a uma ação interpelada por Simone Tebet",negativo
"Mulheres pela vida, mulheres pela família, mulheres com Bolsonaro. 03-09-2022Novo Hamburgo - RS #BolsonaroNoPrimeiroTurno",positivo
"Vamos conscientizar que este vídeo, não pode ser retuitado porque a Dona Simone Tebet não quer#MichellePelasMulheres",negativo
Eleitores de Ciro é Bolsonaro no 2o turno.. Isso se  @jairbolsonaro  não ganhar no primeiro turno!!,positivo
Curiosidade: A carta em defesa a democracia que a Rosângela Moro assinou não falava nada sobre ditadura da toga? Se Lula e a turma que “defende a democracia” voltar ao poder ele manda prender o Moro em menos de 30 dias.,negativo
Amo o Lula Molusco,negativo
Kkkkkkkkkk! Então Lula já está governando??? Mas  nem votamos ainda Marreco!!!,negativo
Moro chama de ‘abusiva’ busca em sua casa para apreensão de material de campanha e atribui ao PT ‘tentativa de intimidação’: https://bit.ly/3ejnBLV,positivo
Está mais que óbvio que o sistema está agindo para ter o bandido Lula de volta ao poder. Não podemos ter esse câncer de volta!,negativo
O PT pediu e o STF anulou as condenações do Lula. O PT pediu e o TRE-PR confiscou material de campanha do @SF_Moro e do @PauloMartins10 . Olha o poder que o PT já tem sem estar no governo. Essa é a verdadeira ameaça à democracia. PT nunca mais! https://oglobo.globo.com/politica/eleicoes-2022/noticia/2022/09/apos-pedido-do-pt-sergio-moro-e-alvo-de-busca-e-apreensao-de-material-de-campanha-em-sua-casa.ghtml…,negativo
"Nossa vice,  @AnaPaulaMatosBA , explica como vai funcionar o programa de renda mínima proposto pelo Ciro Gomes. ",positivo
"Depois eu digo que é coisa de maluco. Ele claramente teve problemas no material de campanha, tanto que assumiu isso. E a culpa não é dele? Não, é do PT. Ciro Gomes, falou besteiras num comício, culpa dele? Não, do Lula. Gente, não tem um amigo próximo pra dar um conselho não? ",neutro
Eleições 2022: Moro critica PT e chama operação em sua casa de abusiva https://www1.folha.uol.com.br/poder/2022/09/moro-critica-pt-e-chama-operacao-em-sua-casa-de-abusiva.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha…,positivo
"Teto do Ciro Gomes é de 12%, só vai desperdiçar parcos recursos do PDT.",neutro
eu quero que vocês deem essas moedas pra simone tebet:,negativo
"""Mulheres votam em mulheres !"" Declara Simone Tebet  ""Nós votamos no MITO"" Respondem mulheres gaúchas para @jairbolsonaro  em encontro no RS !!!  #MulheresComBolsonaro",negativo
"Obrigado feminista  @simonetebetbr , conseguiu transformar esse vídeo no mais visto em todas redes sociais. Continue assim Senadora 3%!",neutro
"o TSE acatou com o pedido da Simone estepe e mandou remover o vide de campanha com a primeira dama Michele Bolsonaro , estou fazendo minha parte e vamos Retwitar com força ! ",positivo
Acabei de ver Lapada: Michelle Bolsonaro expõe “hipocrisia” de Simone Tebet; VEJA - Clique para ver também ☛  https://terrabrasilnoticias.com/2022/09/lapada-michelle-bolsonaro-expoe-hipocrisia-de-simone-tebet-veja/… via  @TerraBrasilnot,negativo
"""sou mulher, tenho mais de 18 e voto no Bolsonaro! Bom, eu tenho uma péssima notícia pra ti""  Ja se dizia antes nesta rede social.",positivo
"Em ato no RS, Bolsonaro pergunta se mulheres prefeririam 'Lei Maria da Penha ou uma pistola' em situação de perigo http://glo.bo/3Qk3o5Y #g1",positivo
Faltam 29 Para #LulaNo1ºTurno e #BolsonaroNaCadeia  Pois o povo não é bobo e vai querer ser feliz de Novo E não para de gritar  EI BOLSONARO VAI TOMAR NO CU!!!!!,positivo
Bolsonaro e o teatro dos horrores.,positivo
A profecia do Lula se cumprindo! Grande Dia!,negativo
Justiça Eleitoral realiza busca e apreensão na casa do marréco e parcial Sergio Moro para apreender material de campanha irregular. #lula2022 #forabolsonaro #cadeianomoro,negativo
ESTOU COM LULA! Pelo Brasil da esperança! Faltam 29 dias...  #LulaPresidente13 #LulaNo1ºTurno #BrasilDaEsperança,negativo
TSE determina que redes sociais derrubem postagens do cantor Latino contra Luiz Inácio Lula da Silva,negativo
"Enquanto militantes de #CiroGomes e #Lula se atacam, deixam rolar #fakes de #bolsonarocorrupto",negativo
"OFICIALMENTE DEFINIDO  Dep. Estadual -  @leticiaarsenio  19019 Dep. Federal -  @caleromarcelo  5501 Senador -  @alessandromolon  400 Governador -  @nulo  00 Presidente -  @cirogomes  12  Os votos são meus e quem n gostou, fodac e abraço.  Vamo!!!",positivo
"o Ciro Gomes  causa uma boa impressão, entre todos os candidatos é oque tem a melhor oratória",neutro
"Pera lá um pouquinho, eu gosto do jeitão do Ciro Gomes",positivo
Acabei de ver Lapada: Michelle Bolsonaro expõe “hipocrisia” de Simone Tebet; VEJA - Clique para ver também ☛  https://terrabrasilnoticias.com/2022/09/lapada-michelle-bolsonaro-expoe-hipocrisia-de-simone-tebet-veja/… via  @TerraBrasilnot,negativo
Não compartilhe  Simone tebet não gosta  #BolsonaroNoPrimeiroTurno,negativo
